"Time of installation";"Operation type";"Package type";"Package name";"Package version";"Package publisher";"Package program";"Device name"
"10.03.2020 11:55:04";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-STPG-L148"
"10.03.2020 11:52:44";"uninstallation";"program";"Microsoft Sticky Notes";"3.7.106.0";"Microsoft Corporation";"Microsoft Sticky Notes";"NYC-FING-L674"
"10.03.2020 11:52:44";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-FING-L674"
"10.03.2020 11:52:44";"installation";"program";"Microsoft Sticky Notes";"3.7.124.0";"Microsoft Corporation";"Microsoft Sticky Notes";"NYC-FING-L674"
"10.03.2020 11:52:44";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-FING-L674"
"10.03.2020 11:48:29";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-REAL-L948"
"10.03.2020 11:48:29";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-REAL-L948"
"10.03.2020 11:45:09";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-BXII-L677"
"10.03.2020 11:45:09";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-BXII-L677"
"10.03.2020 11:41:07";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-BXII-L431"
"10.03.2020 11:41:07";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-BXII-L431"
"10.03.2020 11:39:58";"uninstallation";"program";"Windows Voice Recorder";"10.1912.10073.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-BISG-L048"
"10.03.2020 11:39:58";"installation";"program";"Windows Voice Recorder";"10.2001.568.0";"Microsoft Corporation";"Windows Voice Recorder";"NYC-BISG-L048"
"10.03.2020 11:33:59";"uninstallation";"program";"VS Script Debugging Common";"16.0.95.0";"Microsoft Corporation";"VS Script Debugging Common";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"vs_tipsmsi";"15.0.27005";"Microsoft Corporation";"vs_tipsmsi";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.15.26706";"14.15.26706";"Microsoft Corporation";"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.15.26706";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"Microsoft System CLR Types for SQL Server vNext CTP1.6";"15.0.600.33";"Microsoft Corporation";"Microsoft System CLR Types for SQL Server vNext CTP1.6";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005";"12.0.21005.1";"Microsoft Corporation";"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"vs_clickoncesigntoolmsi";"15.0.27005";"Microsoft Corporation";"vs_clickoncesigntoolmsi";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"vs_clickoncebootstrappermsires";"15.0.27005";"Microsoft Corporation";"vs_clickoncebootstrappermsires";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU)";"4.7.02558";"Microsoft Corporation";"Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU)";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"Microsoft Visual Studio Installer";"1.18.1104.625";"Microsoft Corporation";"Microsoft Visual Studio Installer";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"vs_minshellmsires";"15.0.26621";"Microsoft Corporation";"vs_minshellmsires";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"Microsoft Azure Storage Emulator - v5.7";"5.7.18218.1723";"Microsoft Corporation";"Microsoft Azure Storage Emulator - v5.7";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"vs_minshellinteropmsi";"15.8.27825";"Microsoft Corporation";"vs_minshellinteropmsi";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"Microsoft Visual C++ 2017 Redistributable (x64) - 14.15.26706";"14.15.26706.0";"Microsoft Corporation";"Microsoft Visual C++ 2017 Redistributable (x64) - 14.15.26706";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"Microsoft Web Deploy 4.0";"10.0.1994";"Microsoft Corporation";"Microsoft Web Deploy 4.0";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.15.26706";"14.15.26706";"Microsoft Corporation";"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.15.26706";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"ClickOnce Bootstrapper Package for Microsoft .NET Framework";"4.7.03083";"Microsoft Corporation";"ClickOnce Bootstrapper Package for Microsoft .NET Framework";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"IIS 10.0 Express";"10.0.1743";"Microsoft Corporation";"IIS 10.0 Express";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"vs_filehandler_x86";"15.9.28302";"Microsoft Corporation";"vs_filehandler_x86";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"Microsoft ASP.NET Diagnostic Pack for Visual Studio";"15.9.40055.12313";"Microsoft Corporation";"Microsoft ASP.NET Diagnostic Pack for Visual Studio";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"vs_SQLClickOnceBootstrappermsi";"15.0.27005";"Microsoft Corporation";"vs_SQLClickOnceBootstrappermsi";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"vs_filehandler_amd64";"15.9.28302";"Microsoft Corporation";"vs_filehandler_amd64";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"vs_clickoncebootstrappermsi";"15.0.27005";"Microsoft Corporation";"vs_clickoncebootstrappermsi";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"12.0.21005.1";"Microsoft Corporation";"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"Active Directory Authentication Library for SQL Server";"15.0.1000.16";"Microsoft Corporation";"Active Directory Authentication Library for SQL Server";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"vs_communitymsires";"15.0.26621";"Microsoft Corporation";"vs_communitymsires";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"IntelliTraceProfilerProxy";"15.0.17289.01";"Microsoft Corporation";"IntelliTraceProfilerProxy";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"vs_FileTracker_Singleton";"15.9.28128";"Microsoft Corporation";"vs_FileTracker_Singleton";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"Microsoft ASP.NET Core Module V2 for IIS Express";"12.2.18292.0";"Microsoft Corporation";"Microsoft ASP.NET Core Module V2 for IIS Express";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"DiagnosticsHub_CollectionService";"15.9.28016";"Microsoft Corporation";"DiagnosticsHub_CollectionService";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"Microsoft TestPlatform SDK Local Feed";"15.9.0.2096950";"Microsoft";"Microsoft TestPlatform SDK Local Feed";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"Microsoft Visual Studio Setup Configuration";"1.18.21.37008";"Microsoft Corporation";"Microsoft Visual Studio Setup Configuration";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"vs_communitymsi";"15.9.28307";"Microsoft Corporation";"vs_communitymsi";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"uninstallation";"program";"Python Launcher";"3.6.6386.0";"Python Software Foundation";"Python Launcher";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"Entity Framework 6.2.0 Tools  for Visual Studio 2019";"6.2.0.0";"Microsoft Corporation";"Entity Framework 6.2.0 Tools  for Visual Studio 2019";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"vs_SQLClickOnceBootstrappermsi";"16.0.28329";"Microsoft Corporation";"vs_SQLClickOnceBootstrappermsi";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"icecap_collection_neutral";"16.4.29430";"Microsoft Corporation";"icecap_collection_neutral";"NYC-BXII-L1031"
"10.03.2020 11:33:59";"installation";"program";"Python 3.7.5 Standard Library (64-bit symbols)";"3.7.5150.0";"Python Software Foundation";"Python 3.7.5 Standard Library (64-bit symbols)";"NYC-BXII-L1031"
