Time	Type	Device name	Error code	Error label
09.03.2020 04:34:20	hard reset	GUR-FING-L147	0x0	-
09.03.2020 04:24:29	hard reset	LDN-REAL-L663	0x0	-
09.03.2020 03:53:07	hard reset	SHA-PEQG-W011	0x0	-
09.03.2020 03:51:49	hard reset	GUR-BXII-L217	0x0	-
09.03.2020 02:35:25	hard reset	GUR-FING-L291	0x0	-
09.03.2020 02:27:08	hard reset	SHG-REAL-L012	0x0	-
09.03.2020 02:14:20	hard reset	GUR-REAL-L108	0x0	-
09.03.2020 01:23:19	hard reset	GUR-BXII-L507	0x0	-
09.03.2020 01:17:23	hard reset	GUR-REAL-L142	0x0	-
09.03.2020 00:25:58	hard reset	MUM-PEQG-L084	0x0	-
09.03.2020 00:16:13	hard reset	GUR-BXII-L476	0x0	-
09.03.2020 00:06:34	hard reset	NYC-REAL-L900	0x0	-
08.03.2020 23:51:33	hard reset	GUR-BXII-L495	0x0	-
08.03.2020 23:17:22	hard reset	NYC-REAL-L741	0x0	-
08.03.2020 22:33:41	hard reset	NYC-PEQG-L681	0x0	-
08.03.2020 22:25:01	hard reset	NYC-BAAM-L888	0x0	-
08.03.2020 21:58:09	hard reset	SHG-REAL-L012	0x0	-
08.03.2020 21:57:21	hard reset	GUR-BXII-L242	0x0	-
08.03.2020 21:37:31	hard reset	GUR-BXII-L349	0x0	-
08.03.2020 21:15:22	hard reset	HKG-FING-L011	0x0	-
08.03.2020 21:13:42	hard reset	NYC-GCS-L116	0x0	-
08.03.2020 21:12:36	hard reset	NYC-REAL-L886	0x0	-
08.03.2020 20:45:17	hard reset	HKG-TACT-L001	0x0	-
08.03.2020 20:08:51	hard reset	HKG-PEQG-L127	0x0	-
08.03.2020 19:23:48	hard reset	NYC-GSO-L234	0x0	-
08.03.2020 19:20:53	hard reset	NYC-PEQG-L855	0x0	-
08.03.2020 19:07:31	hard reset	NYC-REAL-L827	0x0	-
08.03.2020 19:06:54	hard reset	NYC-FING-L524	0x0	-
08.03.2020 18:50:44	hard reset	NYC-STPG-L092	0x0	-
08.03.2020 18:40:50	hard reset	NYC-PWM-L076	0x0	-
08.03.2020 18:14:50	hard reset	NYC-BXII-L731	0x0	-
08.03.2020 17:38:16	hard reset	NYC-BAAM-L852	0x0	-
08.03.2020 17:25:44	hard reset	NYC-BXII-L804	0x0	-
08.03.2020 17:14:28	hard reset	NYC-PEQG-L783	0x0	-
08.03.2020 16:24:11	hard reset	NYC-PEQG-L785	0x0	-
08.03.2020 16:22:30	hard reset	NYC-REAL-L900	0x0	-
08.03.2020 16:18:05	hard reset	NYC-TACT-L098	0x0	-
08.03.2020 16:08:37	hard reset	NYC-BXII-L774	0x0	-
08.03.2020 15:49:51	hard reset	LDN-REAL-L624	0x0	-
08.03.2020 15:46:42	hard reset	NYC-GSO-L260	0x0	-
08.03.2020 15:22:28	hard reset	NYC-REAL-L594	0x0	-
08.03.2020 15:03:59	hard reset	HUS-GSO-L065	0x0	-
08.03.2020 14:34:23	hard reset	NYC-BXII-L671	0x0	-
08.03.2020 14:31:50	hard reset	GUR-BXII-L467	0x0	-
08.03.2020 14:07:41	hard reset	LDN-GSO-L047	0x0	-
08.03.2020 13:55:36	hard reset	CAM-CLAR-L029	0x0	-
08.03.2020 13:34:50	hard reset	NYC-REAL-L827	0x0	-
08.03.2020 13:32:35	hard reset	NYC-GSO-L192	0x0	-
08.03.2020 13:16:07	hard reset	LDN-REAL-L607	0x0	-
08.03.2020 13:15:24	hard reset	GUR-BXII-L453	0x0	-
08.03.2020 13:11:24	hard reset	NYC-GSO-L258	0x0	-
08.03.2020 13:03:13	hard reset	GUR-REAL-L106	0x0	-
08.03.2020 12:54:34	hard reset	MUM-REAL-L106	0x0	-
08.03.2020 12:30:28	hard reset	LDN-REAL-L691	0x0	-
08.03.2020 12:12:17	hard reset	NYC-GSO-L192	0x0	-
08.03.2020 12:10:38	hard reset	NYC-GSO-L283	0x0	-
